Small Mol HMS LINCS ID	SM Name	Alternative Names	LINCS ID	PubChem CID	Datarecord ID	HMS Dataset ID	Salt ID	ChEMBL ID	ChEBI ID	InChi	InChi Key	SMILES	Molecular Mass	Molecular Formula
HMSL10010-101	CP724714		LSM-1010	53401057	11	10010	101	None	None	InChI=1S/C27H27N5O3/c1-18-13-21(8-11-25(18)35-22-9-6-19(2)29-15-22)32-27-23-14-20(7-10-24(23)30-17-31-27)5-4-12-28-26(33)16-34-3/h4-11,13-15,17H,12,16H2,1-3H3,(H,28,33)(H,30,31,32)/b5-4+	LLVZBTWPGQVVLW-SNAWJCMRSA-N	CC1=CC(NC2=NC=NC3=CC=C(/C=C/CNC(COC)=O)C=C32)=CC=C1OC4=CC=C(C)N=C4	469.21	C27H27N5O3
HMSL10011-101	Flavopiridol	Alvocidib;HMR-1275;L868275	LSM-1011	5287969	12	10011	101	428690	None	InChI=1S/C21H20ClNO5/c1-23-7-6-12(17(27)10-23)19-14(24)8-15(25)20-16(26)9-18(28-21(19)20)11-4-2-3-5-13(11)22/h2-5,8-9,12,17,24-25,27H,6-7,10H2,1H3/t12-,17+/m0/s1	BIIVYFLTOXDAOV-YVEFUNNKSA-N	O=C1C=C(C2=CC=CC=C2Cl)OC3=C1C(O)=CC(O)=[C@@]3[C@@H]4[C@H](O)CN(C)CC4	401.10	C21H20ClNO5
HMSL10012-101	GSK429286A		LSM-1012	11373846	13	10012	101	None	None	InChI=1S/C21H16F4N4O2/c1-10-19(20(31)28-17-6-12-9-26-29-16(12)8-15(17)22)14(7-18(30)27-10)11-2-4-13(5-3-11)21(23,24)25/h2-6,8-9,14H,7H2,1H3,(H,26,29)(H,27,30)(H,28,31)	OLIIUAHHAZEXEX-UHFFFAOYSA-N	O=C(C(C(C1=CC=C(C(F)(F)F)C=C1)C2)=C(C)NC2=O)NC3=CC4=C(NN=C4)C=C3F	432.12	C21H16F4N4O2
HMSL10013-101	GSK461364		LSM-1013	15983966	14	10013	101	None	None	InChI=1S/C27H28F3N5O2S/c1-17(19-5-3-4-6-20(19)27(28,29)30)37-23-14-24(38-25(23)26(31)36)35-16-32-21-8-7-18(13-22(21)35)15-34-11-9-33(2)10-12-34/h3-8,13-14,16-17H,9-12,15H2,1-2H3,(H2,31,36)/t17-/m1/s1	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	O=C(C1=C(O[C@@H](C2=CC=CC=C2C(F)(F)F)C)C=C(N3C4=CC(CN5CCN(C)CC5)=CC=C4N=C3)S1)N	543.19	C27H28F3N5O2S
HMSL10014-101	GW843682		LSM-1014	9826308	15	10014	101	None	None	InChI=1S/C22H18F3N3O4S/c1-30-16-7-14-15(8-17(16)31-2)28(11-27-14)19-9-18(20(33-19)21(26)29)32-10-12-5-3-4-6-13(12)22(23,24)25/h3-9,11H,10H2,1-2H3,(H2,26,29)	JSKUWFIZUALZLX-UHFFFAOYSA-N	O=C(C1=C(OCC2=CC=CC=C2C(F)(F)F)C=C(N3C4=CC(OC)=C(OC)C=C4N=C3)S1)N	477.10	C22H18F3N3O4S
HMSL10015-101	HG-5-113-01		LSM-1015	None	16	10015	101	None	None	InChI=1S/C23H24N6O3S/c1-14(2)33(31,32)19-7-5-4-6-17(19)27-18-12-21(29-22-16(18)10-11-25-22)28-20-9-8-15(13-26-20)23(30)24-3/h4-14H,1-3H3,(H,24,30)(H3,25,26,27,28,29)	INAFQGYNNQIERK-UHFFFAOYSA-N	CC(C)S(C(C=CC=C1)=C1NC2=C(C=CN3)C3=NC(NC4=CC=C(C(NC)=O)C=N4)=C2)(=O)=O	464.16	C23H24N6O3S
HMSL10016-101	HG-5-88-01		LSM-1016	None	17	10016	101	None	None	InChI=1S/C26H32ClN7O4S/c1-15(2)39(36,37)21-7-5-4-6-19(21)30-25-22(27)23(28)32-26(33-25)31-18-9-8-17(14-20(18)38-3)34-12-10-16(11-13-34)24(29)35/h4-9,14-16H,10-13H2,1-3H3,(H2,29,35)(H4,28,30,31,32,33)	IMEGLYUXMGWVQA-UHFFFAOYSA-N	CC(C)S(C(C=CC=C1)=C1NC2=C(Cl)C(N)=NC(NC3=C(OC)C=C(N4CCC(C(N)=O)CC4)C=C3)=N2)(=O)=O	573.19	C26H32ClN7O4S
HMSL10017-101	HG-6-64-01	KIN001-206	LSM-1017	None	18	10017	101	None	None	InChI=1S/C32H34F3N5O2/c1-4-39-13-15-40(16-14-39)20-25-9-10-26(18-28(25)32(33,34)35)38-31(41)23-6-5-21(2)22(17-23)7-8-24-19-37-30-27(11-12-36-30)29(24)42-3/h5-12,17-19H,4,13-16,20H2,1-3H3,(H,36,37)(H,38,41)/b8-7+	UMBFDGUGXMOMHX-BQYQJAHWSA-N	CC1=CC=C(C(NC2=CC=C(CN3CCN(CC)CC3)C(C(F)(F)F)=C2)=O)C=C1/C=C/C4=C(OC)C5=C(NC=C5)N=C4	577.27	C32H34F3N5O2
HMSL10018-101	HKI-272	Neratinib	LSM-1018	53398697	19	10018	101	180022	None	InChI=1S/C30H29ClN6O3/c1-4-39-28-16-25-23(15-26(28)36-29(38)9-7-13-37(2)3)30(20(17-32)18-34-25)35-21-10-11-27(24(31)14-21)40-19-22-8-5-6-12-33-22/h5-12,14-16,18H,4,13,19H2,1-3H3,(H,34,35)(H,36,38)/b9-7+	JWNPDZNEKVCWMY-VQHVLOKHSA-N	ClC1=C(OCC4=NC=CC=C4)C=CC(NC3=C(C#N)C=NC2=CC(OCC)=C(NC(/C=C/CN(C)C)=O)C=C23)=C1	556.20	C30H29ClN6O3
HMSL10019-101	JW-7-24-1		LSM-1019	None	20	10019	101	None	None	InChI=1S/C31H27F3N4O3/c1-40-23-13-21(14-24(17-23)41-2)19-3-6-27-25(15-19)30-20(18-36-27)4-8-29(39)38(30)22-5-7-28(26(16-22)31(32,33)34)37-11-9-35-10-12-37/h3-8,13-18,35H,9-12H2,1-2H3	VVTHOUCIAGHQBD-UHFFFAOYSA-N	O=C(N3C4=CC(C(F)(F)F)=C(N6CCNCC6)C=C4)C=CC2=C3C1=CC(C5=CC(OC)=CC(OC)=C5)=CC=C1N=C2	560.20	C31H27F3N4O3
HMSL10020-101	Dasatinib	BMS-354825;Sprycel	LSM-1020	3062316	21	10020	101	1421	None	InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27)	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	O=C(NC4=C(Cl)C=CC=C4C)C(S2)=CN=C2NC1=CC(N3CCN(CCO)CC3)=NC(C)=N1	487.16	C22H26ClN7O2S
HMSL10021-101	VX680	Tozasertib;MK-0457	LSM-1021	5494449	22	10021	101	572878	None	InChI=1S/C23H28N8OS/c1-15-13-20(29-28-15)25-19-14-21(31-11-9-30(2)10-12-31)27-23(26-19)33-18-7-5-17(6-8-18)24-22(32)16-3-4-16/h5-8,13-14,16H,3-4,9-12H2,1-2H3,(H,24,32)(H2,25,26,27,28,29)	GCIKSSRWRFVXBI-UHFFFAOYSA-N	CC1=NNC(NC2=NC(SC4=CC=C(NC(C5CC5)=O)C=C4)=NC(N3CCN(C)CC3)=C2)=C1	464.21	C23H28N8OS
HMSL10022-101	GNF2		LSM-1022	5311510	23	10022	101	483847	None	InChI=1S/C18H13F3N4O2/c19-18(20,21)27-14-6-4-13(5-7-14)25-16-9-15(23-10-24-16)11-2-1-3-12(8-11)17(22)26/h1-10H,(H2,22,26)(H,23,24,25)	WEVYNIUIFUYDGI-UHFFFAOYSA-N	O=C(N)C1=CC(C2=CC(NC3=CC=C(OC(F)(F)F)C=C3)=NC=N2)=CC=C1	374.10	C18H13F3N4O2
HMSL10023-103	Imatinib	Gleevec;Glivec;CGP-57148B;STI-571	LSM-1023	5291	24	10023	103	941	None	InChI=1S/C29H31N7O.CH4O3S/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36;1-5(2,3)4/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34);1H3,(H,2,3,4)	YLMAHDNUQAMNNX-UHFFFAOYSA-N	CC1=C(NC2=NC=CC(C3=CC=CN=C3)=N2)C=C(NC(C4=CC=C(C=C4)CN5CCN(CC5)C)=O)C=C1.CS(=O)(O)=O	589.25	C30H35N7O4S
HMSL10024-101	NVP-TAE684		LSM-1024	16038120	25	10024	101	509032	None	InChI=1S/C30H40ClN7O3S/c1-21(2)42(39,40)28-8-6-5-7-26(28)33-29-24(31)20-32-30(35-29)34-25-10-9-23(19-27(25)41-4)37-13-11-22(12-14-37)38-17-15-36(3)16-18-38/h5-10,19-22H,11-18H2,1-4H3,(H2,32,33,34,35)	QQWUGDVOUVUTOY-UHFFFAOYSA-N	COC1=C(NC2=NC(NC3=C(S(=O)(C(C)C)=O)C=CC=C3)=C(Cl)C=N2)C=CC(N4CCC(N5CCN(CC5)C)CC4)=C1	613.26	C30H40ClN7O3S
HMSL10025-101	CGP60474	MLS000911536;SMR000463552	LSM-1025	644215	26	10025	101	300389	None	InChI=1S/C18H18ClN5O/c19-14-3-1-4-15(12-14)23-18-22-9-6-16(24-18)13-5-8-21-17(11-13)20-7-2-10-25/h1,3-6,8-9,11-12,25H,2,7,10H2,(H,20,21)(H,22,23,24)	IYNDTACKOAXKBJ-UHFFFAOYSA-N	ClC1=CC(NC2=NC=CC(C3=CC=NC(NCCCO)=C3)=N2)=CC=C1	355.12	C18H18ClN5O
HMSL10026-101	PD173074		LSM-1026	1401	27	10026	101	189584	None	InChI=1S/C28H41N7O3/c1-8-35(9-2)13-11-10-12-29-26-30-18-20-16-23(19-14-21(37-6)17-22(15-19)38-7)25(31-24(20)32-26)33-27(36)34-28(3,4)5/h14-18H,8-13H2,1-7H3,(H3,29,30,31,32,33,34,36)	DXCUKNQANPLTEJ-UHFFFAOYSA-N	CCN(CC)CCCCNC2=NC1=C(C=N2)C=C(C3=CC(OC)=CC(OC)=C3)C(NC(NC(C)(C)C)=O)=N1	523.33	C28H41N7O3
HMSL10027-101	PF02341066	Crizotinib	LSM-1027	11626560	28	10027	101	601719	None	InChI=1S/C21H22Cl2FN5O/c1-12(19-16(22)2-3-17(24)20(19)23)30-18-8-13(9-27-21(18)25)14-10-28-29(11-14)15-4-6-26-7-5-15/h2-3,8-12,15,26H,4-7H2,1H3,(H2,25,27)/t12-/m1/s1	KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@H](C2=C(Cl)C(F)=CC=C2Cl)OC1=CC(C3=CN(C4CCNCC4)N=C3)=CN=C1N	449.12	C21H22Cl2FN5O
HMSL10028-102	BMS345541		LSM-1028	9813758	29	10028	102	None	None	InChI=1S/C14H17N5.ClH/c1-9-3-4-11-12(7-9)19-10(2)8-17-14(19)13(18-11)16-6-5-15;/h3-4,7-8H,5-6,15H2,1-2H3,(H,16,18);1H	MIDKPVLYXNLFGZ-UHFFFAOYSA-N	[H]N([H])CCNC1=NC2=C(N3C(C)=CN=C31)C=C(C)C=C2.Cl	291.13	C14H18ClN5
HMSL10029-101	GW-5074		LSM-1029	5034	30	10029	101	None	None	InChI=1S/C15H8Br2INO2/c16-11-4-7(5-12(17)14(11)20)3-10-9-6-8(18)1-2-13(9)19-15(10)21/h1-6,20H,(H,19,21)	LMXYVLFTZRPNRV-UHFFFAOYSA-N	C1=C(C=CC2=C1C(C(=O)N2[H])=CC3=CC(=C(C(=C3)Br)O[H])Br)I	518.80	C15H8Br2INO2
HMSL10030-101	KIN001-042		LSM-1030	6539732	31	10030	101	None	None	InChI=1S/C14H10IN3OS/c15-12-3-1-2-10(8-12)9-20-14-18-17-13(19-14)11-4-6-16-7-5-11/h1-8H,9H2	ZRHRPGSSSVYBRG-UHFFFAOYSA-N	C1(=CC=NC=C1)C2=NN=C(O2)SCC3=CC(=CC=C3)I	394.96	C14H10IN3OS
HMSL10031-101	KIN001-043		LSM-1031	24906282	32	10031	101	None	None	InChI=1S/C16H10BrN3O2/c17-8-5-6-9-12(7-8)19-16(21)13(9)15-14(20-22)10-3-1-2-4-11(10)18-15/h1-7,18,22H,(H,19,21)/b15-13-,20-14?	DDLZLOKCJHBUHD-PHQNPPNDSA-N	C1=CC=CC2=C1C(\C(N2[H])=C4/C3=C(C=C(C=C3)Br)N(C4=O)[H])=NO[H]	355.00	C16H10BrN3O2
HMSL10032-101	AZD0530	Saracatinib	LSM-1032	10302451	33	10032	101	217092	None	InChI=1S/C27H32ClN5O5/c1-32-6-8-33(9-7-32)10-13-35-19-14-21-24(23(15-19)38-18-4-11-34-12-5-18)27(30-16-29-21)31-25-20(28)2-3-22-26(25)37-17-36-22/h2-3,14-16,18H,4-13,17H2,1H3,(H,29,30,31)	OUKYUETWWIPKQR-UHFFFAOYSA-N	ClC(C=CC4=C3OCO4)=C3NC2=NC=NC1=CC(OCCN6CCN(C)CC6)=CC(OC5CCOCC5)=C12	541.21	C27H32ClN5O5
HMSL10033-101	KIN001-055		LSM-1033	3796	34	10033	101	None	None	InChI=1S/C16H13Br2N3O3/c1-23-13-5-9-12(6-14(13)24-2)19-7-20-16(9)21-8-3-10(17)15(22)11(18)4-8/h3-7,22H,1-2H3,(H,19,20,21)	YVCXQRVVNQMZEI-UHFFFAOYSA-N	BrC1=CC(NC2=NC=NC3=CC(OC)=C(OC)C=C32)=CC(Br)=C1O	452.93	C16H13Br2N3O3
HMSL10034-101	AS601245	JNK Inhibitor V	LSM-1034	10109823	35	10034	101	191384	None	InChI=1S/C20H16N6S/c21-12-15(19-25-17-5-1-2-6-18(17)27-19)16-8-11-24-20(26-16)23-10-7-14-4-3-9-22-13-14/h1-6,8-9,11,13,15H,7,10H2,(H,23,24,26)	RCYPVQCPYKNSTG-UHFFFAOYSA-N	N#CC(C1=NC2=CC=CC=C2S1)C3=CC=NC(NCCC4=CC=CN=C4)=N3	372.12	C20H16N6S
HMSL10035-101	Sigma A6730	KIN001-102;AKT inhibitor VIII;Akt1/2 kinase inhibitor	LSM-1035	10196499	36	10035	101	None	None	InChI=1S/C34H29N7O/c42-34-39-26-8-4-5-9-31(26)41(34)25-14-16-40(17-15-25)20-22-10-12-24(13-11-22)33-32(23-6-2-1-3-7-23)37-29-18-27-28(36-21-35-27)19-30(29)38-33/h1-13,18-19,21,25H,14-17,20H2,(H,35,36)(H,39,42)	BIWGYFZAEWGBAL-UHFFFAOYSA-N	O=C1NC2=CC=CC=C2N1C3CCN(CC3)CC4=CC=C(C=C4)C5=NC6=CC7=C(C=C6N=C5C8=CC=CC=C8)N=CN7	551.24	C34H29N7O
HMSL10035-109	Sigma A6730	KIN001-102;AKT inhibitor VIII;Akt1/2 kinase inhibitor	LSM-1035	16218954	37	10035	109	258844	None	InChI=1S/C34H29N7O.C2HF3O2.H2O/c42-34-39-26-8-4-5-9-31(26)41(34)25-14-16-40(17-15-25)20-22-10-12-24(13-11-22)33-32(23-6-2-1-3-7-23)37-29-18-27-28(36-21-35-27)19-30(29)38-33;3-2(4,5)1(6)7;/h1-13,18-19,21,25H,14-17,20H2,(H,35,36)(H,39,42);(H,6,7);1H2	CRRPFKCJZALCLQ-UHFFFAOYSA-N	FC(F)(F)C(=O)O.O=C2Nc1ccccc1N2C8CCN(Cc7ccc(c4nc6c(nc4c3ccccc3)cc5ncnc5c6)cc7)CC8.O	683.25	C36H32F3N7O4
HMSL10036-101	SB 239063		LSM-1036	5166	38	10036	101	None	None	InChI=1S/C20H21FN4O2/c1-27-20-22-11-10-17(24-20)19-18(13-2-4-14(21)5-3-13)23-12-25(19)15-6-8-16(26)9-7-15/h2-5,10-12,15-16,26H,6-9H2,1H3/t15-,16-	ZQUSFAUAYSEREK-WKILWMFISA-N	COC1=NC=CC(=N1)C2=C(N=CN2[C@H]3CC[C@H](O)CC3)C4=CC=C(F)C=C4	368.16	C20H21FN4O2
HMSL10037-101	AC220		LSM-1037	24889392	39	10037	101	None	None	InChI=1S/C29H32N6O4S/c1-29(2,3)25-17-26(33-39-25)32-27(36)30-20-6-4-19(5-7-20)22-18-35-23-9-8-21(16-24(23)40-28(35)31-22)38-15-12-34-10-13-37-14-11-34/h4-9,16-18H,10-15H2,1-3H3,(H2,30,32,33,36)	CVWXJKQAOSCOAB-UHFFFAOYSA-N	O=C(NC1=CC=C(C=C1)C2=CN3C(SC4=C3C=CC(OCCN5CCOCC5)=C4)=N2)NC6=NOC(C(C)(C)C)=C6	560.22	C29H32N6O4S
HMSL10038-101	WH-4-023		LSM-1038	None	40	10038	101	213100	None	InChI=1S/C32H36N6O4/c1-22-7-6-8-23(2)30(22)42-32(39)38(27-14-13-26(40-4)21-28(27)41-5)29-15-16-33-31(35-29)34-24-9-11-25(12-10-24)37-19-17-36(3)18-20-37/h6-16,21H,17-20H2,1-5H3,(H,33,34,35)	NBTNHSGBRGTFJS-UHFFFAOYSA-N	O=C(OC1=C(C)C=CC=C1C)N(C2=CC=C(OC)C=C2OC)C3=NC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=C3	568.28	C32H36N6O4
HMSL10039-101	WH-4-025		LSM-1039	None	41	10039	101	None	None	InChI=1S/C39H38F3N7O5/c1-25-8-9-26(36(50)44-29-7-5-6-27(23-29)39(40,41)42)22-33(25)54-38(51)49(32-15-14-31(52-3)24-34(32)53-4)35-16-17-43-37(46-35)45-28-10-12-30(13-11-28)48-20-18-47(2)19-21-48/h5-17,22-24H,18-21H2,1-4H3,(H,44,50)(H,43,45,46)	MWWDOHSKUDECFQ-UHFFFAOYSA-N	O=C(OC1=CC(C(NC2=CC=CC(C(F)(F)F)=C2)=O)=CC=C1C)N(C3=CC=C(OC)C=C3OC)C4=NC(NC5=CC=C(N6CCN(C)CC6)C=C5)=NC=C4	741.29	C39H38F3N7O5
HMSL10040-101	R406		LSM-1040	11213558	42	10040	101	None	None	InChI=1S/C22H23FN6O5/c1-22(2)20(30)28-19-13(34-22)6-7-16(27-19)26-18-12(23)10-24-21(29-18)25-11-8-14(31-3)17(33-5)15(9-11)32-4/h6-10H,1-5H3,(H3,24,25,26,27,28,29,30)	NHHQJBCNYHBUSI-UHFFFAOYSA-N	FC(C(NC1=CC=C(OC(C)(C)C(N2)=O)C2=N1)=N3)=CN=C3NC4=CC(OC)=C(OC)C(OC)=C4	470.17	C22H23FN6O5
HMSL10041-101	BI-2536	NPK33-1-98-1	LSM-1041	11364421	43	10041	101	513909	None	InChI=1S/C28H39N7O3/c1-5-22-27(37)34(3)23-17-29-28(32-25(23)35(22)20-8-6-7-9-20)31-21-11-10-18(16-24(21)38-4)26(36)30-19-12-14-33(2)15-13-19/h10-11,16-17,19-20,22H,5-9,12-15H2,1-4H3,(H,30,36)(H,29,31,32)/t22-/m1/s1	XQVVPGYIWAGRNI-JOCHJYFZSA-N	CN(C1=C(N(C2CCCC2)[C@@H]3CC)N=C(NC4=C(OC)C=C(C(NC5CCN(C)CC5)=O)C=C4)N=C1)C3=O	521.31	C28H39N7O3
HMSL10042-101	AMG706	Motesanib	LSM-1042	11667893	44	10042	101	None	None	InChI=1S/C22H23N5O/c1-22(2)14-26-19-12-16(5-6-18(19)22)27-21(28)17-4-3-9-24-20(17)25-13-15-7-10-23-11-8-15/h3-12,26H,13-14H2,1-2H3,(H,24,25)(H,27,28)	RAHBGWKEPAQNFF-UHFFFAOYSA-N	O=C(NC1=CC=C(C(C)(C)CN2)C2=C1)C3=C(NCC4=CC=NC=C4)N=CC=C3	373.19	C22H23N5O
HMSL10043-101	KIN001-127		LSM-1043	20635522	45	10043	101	None	None	InChI=1S/C31H39N5O4S2/c1-19(2)21(4)32-17-23-7-9-24(10-8-23)29(38)34-31-33-18-28(42-31)41-27-16-25(26(40-6)15-20(27)3)30(39)36-13-11-35(12-14-36)22(5)37/h7-10,15-16,18-19,21,32H,11-14,17H2,1-6H3,(H,33,34,38)	RRHONYZEMUNMJX-UHFFFAOYSA-N	CC(C(C)C)NCC1=CC=C(C(NC2=NC=C(SC3=CC(C(N4CCN(C(C)=O)CC4)=O)=C(OC)C=C3C)S2)=O)C=C1	609.24	C31H39N5O4S2
HMSL10044-104	KIN001-242	FMK	LSM-1044	56965963	46	10044	104	None	None	InChI=1S/C21H26FN5O2.2C7H8O3S/c1-14-4-6-15(7-5-14)17-18-20(23)25-13-26-21(18)27(19(17)16(28)12-22)10-3-8-24-9-11-29-2;2*1-6-2-4-7(5-3-6)11(8,9)10/h4-7,13,24H,3,8-12H2,1-2H3,(H2,23,25,26);2*2-5H,1H3,(H,8,9,10)	SGCHBFOYLQSBHZ-UHFFFAOYSA-N	NC1=C2C(N(CCCNCCOC)C(C(CF)=O)=C2C3=CC=C(C)C=C3)=NC=N1.CC4=CC=C(S(=O)(O)=O)C=C4.CC5=CC=C(S(=O)(O)=O)C=C5	743.25	C35H42FN5O8S2
HMSL10045-101	A443654		LSM-1045	10172943	47	10045	101	379300	None	InChI=1S/C24H23N5O/c1-15-22-10-16(6-7-24(22)29-28-15)17-9-20(13-26-11-17)30-14-19(25)8-18-12-27-23-5-3-2-4-21(18)23/h2-7,9-13,19,27H,8,14,25H2,1H3,(H,28,29)/t19-/m0/s1	YWTBGJGMTBHQTM-IBGZPJMESA-N	N[C@H](COC1=CN=CC(C2=CC(C(C)=NN3)=C3C=C2)=C1)CC4=CNC5=CC=CC=C54	397.19	C24H23N5O
HMSL10046-101	SB590885		LSM-1046	53239990	48	10046	101	None	None	InChI=1S/C27H27N5O2/c1-32(2)15-16-34-22-7-3-19(4-8-22)27-29-25(18-11-13-28-14-12-18)26(30-27)21-5-9-23-20(17-21)6-10-24(23)31-33/h3-5,7-9,11-14,17,33H,6,10,15-16H2,1-2H3,(H,29,30)/b31-24-	MLSAQOINCGAULQ-QLTSDVKISA-N	O/N=C1CCC2=C/1C=CC(C(NC(C3=CC=C(OCCN(C)C)C=C3)=N4)=C4C5=CC=NC=C5)=C2	453.22	C27H27N5O2
